RectCoverage,AvgRectArea,RectStDev,RectDistribution,RectOrth,RectOrth2,rectangles,AvgLineLength,LongestLine,ShortestLine,LineLengthStDev,AvgLineAngle,OrthLinesRatio,lines,LineCrossings,AvgCrossingAngle,AvgLineBends,AvgShortestDistance,AspectRatio,diagram_name,source,predicted_score
0.0,0.0,0.0,0.0,0.0,0,0,5015285.030952654,118781313.04903184,0.0,13429893.56134364,39.916686790455564,0.9393063583815028,1038,1882,0,0.0,0.0,1.0,2.svg,GroundTruth,2.3316666666666666
0.0,0.0,0.0,0.0,0.0,0,0,20031942.55980088,121347660.0,0.0,26392954.21363346,35.231159562859204,0.7649572649572649,234,1404,0,0.0,0.0,1.0,2stagebeit.svg,GroundTruth,2.3666666666666667
0.0,0.0,0.0,0.0,0.0,0,0,14558004.030285714,144549282.20840478,0.0,25206672.08595474,35.458950891446925,0.8078703703703703,864,31013,0,0.0,0.0,1.0,3.svg,GroundTruth,2.34
0.0,0.0,0.0,0.0,0.0,0,0,426962.8085211017,96777138.3761,0.0,4674236.353355415,42.57226187680743,0.8432337992376112,6296,451585,0,0.0,0.0,1.0,condorcet_framework.svg,GroundTruth,2.3316666666666666
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,feature.svg,GroundTruth,3.7527777777777773
0.0,0.0,0.0,0.0,0.0,0,0,3644876.2321461714,118408206.0,0.0,11949139.930806613,42.04871669628044,0.9594882729211088,1876,6888,0,0.0,0.0,1.0,img-module-single.svg,GroundTruth,2.3316666666666666
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,mae.svg,GroundTruth,3.7527777777777773
0.0,0.0,0.0,0.0,0.0,0,0,8628266.428185083,121525957.51416571,0.0,19686356.99779951,20.760834955536087,0.6369661266568483,1358,8390,0,0.0,0.0,1.0,mssm.svg,GroundTruth,2.4066666666666667
0.0,0.0,0.0,0.0,0.0,0,0,9190706.099318087,118774417.0,0.0,18607518.3656428,37.72697500171834,0.8461538461538461,1235,8192,0,0.0,0.0,1.0,new-framework.svg,GroundTruth,2.3316666666666666
0.0,0.0,0.0,0.0,0.0,0,0,16413385.969721232,118408206.0,0.0,21647132.79037976,30.71322262389725,0.8721590909090909,704,9259,0,0.0,0.0,1.0,over-arch-double2.svg,GroundTruth,2.32
0.0,0.0,0.0,0.0,0.0,0,0,8230287.174732054,118408206.0,0.0,17296592.520279694,37.16236697613128,0.9630836047774158,921,4564,0,0.0,0.0,1.0,pc-module-single.svg,GroundTruth,2.3316666666666666
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,preid.svg,GroundTruth,3.7527777777777773
0.0,0.0,0.0,0.0,0.0,0,0,5231289.995947823,121582244.97987746,0.0,14227165.011589946,37.88138721976598,0.9726256983240223,1790,8375,0,0.0,0.0,1.0,supp.svg,GroundTruth,2.3333333333333335
0.0,0.0,0.0,0.0,0.0,0,0,17301898.321623087,121582244.97987746,0.0,22465509.487743556,34.87176044191814,0.926829268292683,410,3183,0,0.0,0.0,1.0,teaser2.svg,GroundTruth,2.316666666666667
0.26925,14171.052631578948,6934.473679217208,0.019,0.1052631578947368,0,19,43.182259180853,140.0,6.0,37.403652666262126,40.0,0.7777777777777778,27,0,0,0.0,517.0667791560279,1.0,2.svg,claude_4_5,2.9477777777777776
0.24526,8175.333333333333,10920.868931647436,0.014,0.160919540229885,0,30,49.75701085237044,98.0,10.0,22.46419086094781,31.5,0.9,20,3,0,0.0,324.38226754624634,1.0,2stagebeit.svg,claude_4_5,2.8536111111111113
1.3056,130560.0,234776.7203110223,0.008,0.1111111111111111,0,10,169.5626037311629,1200.0,10.0,278.65688539769656,64.61659323532173,0.9090909090909092,22,7,0,0.0,391.4782199583273,1.0,3.svg,claude_4_5,2.5308333333333333
1.6037,89094.44444444444,228444.1470085612,0.012,0.1176470588235294,0,18,145.23809523809524,1070.0,30.0,246.59334265951085,38.57142857142857,1.0,21,3,0,0.0,538.354553686979,1.0,condorcet_framework.svg,claude_4_5,2.5366666666666666
0.1802,7508.333333333333,1577.687301787722,0.011,0.1050724637681159,0,24,168.7078460552476,643.5060217278468,40.0,149.24080852568068,17.966294584465075,0.25,32,11,0,0.0,603.6316588168088,1.0,feature.svg,claude_4_5,2.723333333333333
2.6604,32443.90243902439,128289.07724692904,0.025,0.1150255947003914,0,82,116.44537451473566,370.0,15.0,98.03276045559466,44.6320208109517,0.7368421052631579,19,2,0,0.0,336.4652268558911,1.0,img-module-single.svg,claude_4_5,2.8408333333333333
0.25152,6449.2307692307695,11330.567547424338,0.014,0.1700404858299595,0,39,209.6895141649746,715.0,56.56854249492381,233.63320465191492,60.0,0.6666666666666666,6,1,0,0.0,475.19259345112425,1.0,mae.svg,claude_4_5,2.714166666666667
0.9654,34478.57142857143,84057.86716237663,0.024,0.0502645502645502,0,28,118.51319895786268,501.1077728393364,10.0,132.79234120724118,30.930652526675185,0.5789473684210527,38,2,0,0.0,511.55164955300415,1.0,mssm.svg,claude_4_5,2.8158333333333334
0.47315,39429.16666666666,70927.99520268582,0.01,0.0909090909090909,0,12,100.32074001667108,285.0,11.6619037896906,76.60879203619082,22.18489904008381,0.7368421052631579,19,3,0,0.0,462.6012598029796,1.0,new-framework.svg,claude_4_5,2.78
0.6,33333.333333333336,49862.70037702419,0.007,0.1895424836601307,0,18,211.56592136836304,576.9748694700662,40.0,194.28036677841536,6.654472989691091,0.6,20,8,0,0.0,523.9747947954279,1.0,over-arch-double2.svg,claude_4_5,2.955
0.747575,14951.5,70596.39392525655,0.013,0.150204081632653,0,50,117.5,230.0,70.0,53.09190145398826,22.5,1.0,8,0,0,0.0,303.4733737388588,1.0,pc-module-single.svg,claude_4_5,3.1866666666666665
1.303965,37256.142857142855,159029.07923703638,0.031,0.0907563025210084,0,35,150.88235294117646,1100.0,10.0,252.8672942713445,63.52941176470589,1.0,17,4,0,0.0,435.0048755055863,1.0,preid.svg,claude_4_5,2.63
1.0824,20422.64150943396,46628.87048636015,0.012,0.2133526850507982,0,53,49.71110769855321,360.0222215363935,4.0,50.03294881836643,-0.486420673580416,0.8431372549019608,51,3,0,0.0,465.8151831774708,1.0,supp.svg,claude_4_5,2.9191666666666665
1.762555,45193.717948717946,82506.33952113532,0.025,0.078272604588394,0,39,180.0,1340.0,60.0,334.43983016381287,54.0,1.0,20,12,0,0.0,521.4646724903256,1.0,teaser2.svg,claude_4_5,2.546666666666667
0.075,5000.0,0.0,0.003,0.4285714285714285,0,15,40.0,100.0,30.0,24.49489742783178,77.14285714285714,1.0,14,0,0,0.0,267.30836255634983,1.0,2.svg,gpt4o,3.1227777777777774
0.1499,11530.76923076923,12262.3491672922,0.005,0.6153846153846154,0,13,95.46580242142016,869.6263565463044,10.0,207.49204137677435,40.7710034118052,0.8,15,3,0,0.0,352.355987375958,1.0,2stagebeit.svg,gpt4o,2.7266666666666666
0.8992,56200.0,129967.84217643994,0.005,0.3666666666666666,0,16,65.56184908068172,130.0,10.0,49.58288139005331,65.45454545454545,0.9090909090909092,22,6,0,0.0,346.98599467041606,1.0,3.svg,gpt4o,2.6641666666666666
0.1424,10171.42857142857,2519.4751640055547,0.008,0.4615384615384615,0,14,118.46614606739112,1740.0,10.0,346.6807052121222,39.130434782608695,0.8260869565217391,23,13,0,0.0,786.3012545277938,1.0,condorcet_framework.svg,gpt4o,2.4558333333333335
0.0512,6400.0,1624.807680927192,0.004,0.3571428571428571,0,8,33.3298221281347,130.0,6.0,34.51458083535472,24.0,0.7333333333333333,15,12,0,0.0,237.4053068932856,1.0,feature.svg,gpt4o,2.8377777777777777
0.0648,10800.0,5091.168824543142,0.003,0.6,0,6,53.850970888636176,140.0,10.0,49.0369084353481,24.545454545454547,0.8181818181818182,11,3,0,0.0,236.0125082568439,1.0,img-module-single.svg,gpt4o,2.9227777777777777
0.056,14000.0,4000.0,0.004,0.3333333333333333,0,4,50.0,50.0,50.0,0.0,0.0,1.0,3,0,0,0.0,250.0,1.0,mae.svg,gpt4o,3.8011111111111116
0.0772,4063.157894736842,267.9562539233233,0.008,0.3625730994152046,0,19,46.39754248593737,80.0,10.0,20.625058818477022,33.75,0.875,16,3,0,0.0,396.3398524401428,1.0,mssm.svg,gpt4o,2.8444444444444446
0.2872,28720.0,39401.94919036367,0.007,0.2,0,10,64.706742197222,450.0,10.0,136.28700827787424,50.0,0.7777777777777778,9,3,0,0.0,397.6343184959624,1.0,new-framework.svg,gpt4o,2.8775
0.077,5923.076923076923,1774.2403991801225,0.008,0.3076923076923077,0,13,68.66666666666667,120.0,50.0,22.691163233490013,48.0,1.0,15,0,0,0.0,299.76391622610146,1.0,over-arch-double2.svg,gpt4o,2.99
0.0475,5277.777777777777,785.6742013183862,0.004,0.3333333333333333,0,9,25.295084971874736,50.0,10.0,19.141804415092032,45.0,0.75,8,3,0,0.0,256.8257459763828,1.0,pc-module-single.svg,gpt4o,2.9427777777777777
0.09,11250.0,2904.7375096555625,0.004,0.5,0,8,51.42857142857143,100.0,10.0,42.57046978786097,51.42857142857143,1.0,7,0,0,0.0,340.7542415382031,1.0,preid.svg,gpt4o,3.179444444444444
0.132,4000.0,0.0,0.007,1.119318181818182,0,33,44.73684210526316,50.0,30.0,8.806947647727112,23.68421052631579,1.0,38,50,0,0.0,338.0681818181818,1.0,supp.svg,gpt4o,2.956111111111111
0.411,27400.0,38800.0,0.002,0.8,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,96.0,1.0,teaser2.svg,gpt4o,3.4258333333333333
0.3422,13688.0,7218.660263511506,0.008,0.2366666666666666,0,25,73.36554502877866,570.0,8.94427190999916,86.60092772728976,54.92900328451222,0.8208955223880597,67,120,0,0.0,450.1717842713112,1.0,2.svg,gpt5,2.6983333333333333
0.859028,13015.575757575758,55891.28979520453,0.043,0.1114219114219114,0,66,91.4789556635134,420.0,10.0,109.69481310465096,21.89189189189189,0.8918918918918919,37,23,0,0.0,462.4981540237124,1.0,2stagebeit.svg,gpt5,2.7975
0.1437,11053.846153846154,6560.831957635507,0.005,0.2179487179487179,0,13,96.14456090397722,840.0,10.0,158.71399591557923,59.31818181818182,0.9545454545454546,44,13,0,0.0,503.3485538078028,1.0,3.svg,gpt5,2.56
0.91246,36498.4,86060.00323867063,0.011,0.1466666666666666,0,25,88.22187579601251,1090.0,6.0,180.77795239711452,43.95348837209303,0.9534883720930232,43,14,0,0.0,493.4121513089113,1.0,condorcet_framework.svg,gpt5,2.4741666666666666
0.452128,21529.904761904763,75768.27469890068,0.008,0.1761904761904762,0,21,136.625,210.0,8.0,78.80583338179986,16.875,1.0,16,3,0,2.0,425.3563001094887,1.0,feature.svg,gpt5,2.9833333333333334
