name,RectCoverage,AvgRectArea,RectStDev,AspectRatio,AvgLineBends,AvgLineLength,LongestLine,ShortestLine,LineLengthStDev,AvgLineAngle,OrthLinesRatio,LineCrossings,AvgCrossingAngle,AvgShortestDistance,RectDistribution,RectOrth,RectOrth2,rectangles,lines,Quality
architecture-modelclasses.png,0.0020224439420025307,10.0,1.4935759876113537,0.9273504273504273,5.26,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,275.8230083932423,52113.11102892834,0.6410256410256411,0.0,78,0,2.5
class-diagram_14..png,0.011778385224423758,23.894736842105264,16.22386513905873,0.6431353733985312,5.383783783783784,51.58043756165457,87.02298546935747,30.0,15.467467532125156,0.19122805366141596,0.9318181818181818,0,0.0,321.40068038147206,65122.96493898949,0.3253588516746411,0.014354066985645933,209,88,4.0
architecture_215..png,0.30968920939447825,6291.375,22.819605057932094,1.2985074626865671,4.0,62.375,89.0,30.0,18.63590284907066,-30.9375,1.0,0,0.0,245.5909042192496,30317.4609375,0.0,0.0,8,32,4.5
ClassDiagram_55..png,0.2590213382311219,15305.64705882353,14420.015778490088,3.0400143786027525,4.0,149.8846153846154,262.0,67.0,48.80402483644854,-45.0,1.0,0,0.0,354.7102599240939,70790.29238754325,0.17647058823529413,0.0,17,52,3.5
Class Diagram_2..png,0.007849709086598497,19.031496062992126,7.612605592274421,0.6674042165183899,5.573002754820936,52.08085521070208,151.0,30.0,24.30666634317849,-0.4744565843535962,0.6885245901639344,0,0.0,398.9837889961934,103340.31076787156,0.16535433070866143,0.003937007874015748,254,61,3.5
architecture_57..png,0.004078995939461056,14.733333333333333,6.338243710471642,0.9141798941798942,5.193548387096774,30.5,31.0,30.0,0.5,0.0,1.0,0,0.0,291.04354749686485,52428.826944444445,0.37777777777777777,0.0,90,2,4.5
ASTObjectUML.png,0.29090365640160026,3203.7063339731285,30131.319707520797,0.9786929692098013,7.545823665893272,82.91573398312568,1309.0,30.0,141.00302836768867,-4.347439057204896,0.8101092896174863,12,0.8136787338503115,1141.5820865396643,819021.0745705328,0.2687140115163148,0.005758157389635317,521,732,3.0
avengersUML.jpg,0.0007851239669421487,11.5,4.508763396810821,1.0749373433583957,4.430232558139535,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,498.7998886436727,151609.39434729918,0.5657894736842105,0.013157894736842105,76,0,2.0
ClassDiagram_45..png,0.29505461063586447,44114.5,23845.2193059741,1.3747577411906926,4.444444444444445,207.9189189189189,447.0,38.0,99.69341607970946,-43.78378378378378,1.0,3,1.5707963267948966,644.8441788199335,215704.296875,0.0,0.125,8,37,4.0
bankingClassDiagram.png,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,4.5
basic-architecture-patterns.png,0.0037675,15.377551020408163,9.970891620952694,0.9286807580174927,5.461538461538462,90.51938838789766,244.0,35.0,51.16385761336744,-10.402676748956454,0.9807692307692307,9,1.5707963267948966,331.70983201217706,71200.70689296127,0.3163265306122449,0.0,98,52,4.0
basics_components_class_diagram.png,0.0006300682573945511,11.368421052631579,2.932764571737901,0.8489974937343358,4.0,342.0,863.0,56.0,368.9905147832394,0.0,1.0,0,0.0,358.92015400793855,81372.78774238226,0.4473684210526316,0.02631578947368421,38,3,4.0
Battleship_UML.png,0.008917089102847617,16.873390557939913,7.403387758769087,1.0593705293276108,4.728373702422146,31.0,31.0,31.0,0.0,0.0,1.0,0,0.0,489.230127226128,154949.29141723,0.3497854077253219,0.006437768240343348,466,2,3.5
class diagram-withoutOper.png,0.0031845990700709683,12.049382716049383,4.2365290783029215,0.9756546950991396,4.244186046511628,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,427.251146744882,123538.0482586496,0.3950617283950617,0.0,162,0,4.0
Class Diagram Add new librarian.jpg,0.4837536818851252,21022.0,5466.54597427744,1.720594082250561,4.3,109.87754159069871,220.0,32.0624390837628,58.77417898068712,-28.137237901456796,0.9130434782608695,0,0.0,347.63170864185145,62609.61728395061,0.0,0.0,9,46,4.0
ClassDiagram_35..png,0.1354542764981459,4715.8,4050.32027869402,1.398778226202762,4.0476190476190474,90.9622641509434,201.0,39.0,36.77671651864109,-39.056603773584904,1.0,1,1.5707963267948966,467.61667409664034,137754.309375,0.1,0.0,20,53,4.0
ClassDiagram_04.png,0.0015321969696969696,12.165413533834586,4.983703443921969,0.9614393125671321,4.341463414634147,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,698.2150867354472,306098.03987294366,0.5338345864661654,0.0,266,0,1.5
Class Diagram Book Search.jpg,0.4853253508987934,18920.7,8162.963163582204,1.6485346740255047,4.363636363636363,98.9984606519543,220.0,30.14962686336267,61.68195262075846,-27.786552426070827,0.7735849056603774,1,1.371112441419795,349.9660867941505,63710.822499999995,0.1,0.1,10,53,3.5
Class Diagram_13..png,0.0030081071990005013,16.473684210526315,7.722225464582144,0.9193601603320753,5.198924731182796,36.5,42.0,30.0,3.640054944640259,0.0,1.0,0,0.0,470.50988774316585,137015.75736333313,0.2631578947368421,0.007518796992481203,133,6,3.0
class diagram CD v2.png,0.2835921523186801,7150.739130434783,5788.649111894996,1.878668614637341,4.28,93.78711939016432,251.0,31.0,56.667357016620805,-19.207157000682244,0.9836065573770492,12,1.5707963267948966,368.7836700364949,80080.36105860112,0.043478260869565216,0.043478260869565216,23,61,3.5
Class Diagram1_2..png,0.3499563363166333,6885.454545454545,5180.813245456501,2.5453153267263917,4.24,114.78181818181818,260.0,44.0,65.58538942314152,-32.72727272727273,1.0,0,0.0,305.26313763025837,56493.80423553719,0.2727272727272727,0.045454545454545456,22,55,3.5
Class Diagram final.png,0.0019749747493718645,15.668874172185431,8.704662566012589,0.91959949542731,5.412017167381975,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,469.93705069180686,142439.95103284944,0.37748344370860926,0.006622516556291391,151,0,3.0
Class Diagram Pay Fine.jpg,0.4223169540473966,19887.75,4641.974438479816,1.7529412271833187,4.333333333333333,108.65012556165146,220.0,30.066592756745816,59.66699435565169,-29.883049263358465,0.8775510204081632,0,0.0,343.5452416612278,62647.296875,0.0,0.0,8,49,4.0
